,custo,erro,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,Theta_fb6,Theta_fb7,Theta_fb8,Theta_fb9,Theta_fb10,Theta_fb11
47,-241.89935512014281,-585.8128868396282,12.0,1673.926872492506,4.0,8.0,2.0,2.0,3276.509669375448,17420.776847499896,422.98472808120766,325.5625785092624,1304.6541958179614,2978.581068310467
48,-281.2250938169764,-993.6609920567691,12.0,1757.1586415134502,5.0,7.0,2.0,2.0,3593.21893162207,18682.13216373051,351.4205959566026,0.0,1634.1271352506128,3391.285776764064
49,-297.8547921174143,56.90867004732445,12.0,1360.0111754908196,3.0,9.0,0.0,0.0,3109.956923713532,16351.85531132356,0.0,310.5031980935416,1560.2762956242163,2920.287471115036
50,-191.39806693068473,-982.8075253108851,11.0,1166.3009364450654,2.0,9.0,1.0,1.0,2986.226905250317,13628.02197313011,40.723608365074895,1732.8786721074239,1460.4019305533534,2626.702866998419
51,-262.92731443969643,-657.7671135577923,9.0,1365.9674565901491,2.0,7.0,0.0,0.0,2659.511781805141,13685.14584256095,0.0,567.2150627153202,436.5462542187322,1802.5137108088813
52,-218.68451237287533,-424.62765564725464,10.0,1370.3459849687588,3.0,7.0,1.0,2.0,2692.5508860431855,15175.692081644047,130.31640556249627,209.61637997792627,181.2517561343442,1551.597741103103
53,-296.4349812653907,-683.467295017452,11.0,1510.0411869217774,3.0,8.0,1.0,1.0,3192.6265738714173,17668.73507292434,130.31640556249627,0.0,488.26105116138376,1998.302238083161
54,-224.1700409330591,1438.5861959380418,13.0,1590.2812001086322,4.0,9.0,1.0,2.0,3562.229540866923,21444.06972121672,267.9894922686771,862.6055644830908,567.3305674243153,2157.611767532948
55,-234.5563211428494,-1184.5268737763358,12.0,1489.0765032640847,4.0,8.0,2.0,4.0,3246.1578403294006,17501.591865093134,457.9029182960551,57.87571207120891,711.9781830191188,2201.054686283204
56,-276.95346063922136,877.2690316997622,13.0,1510.4642237463963,4.0,9.0,2.0,4.0,3480.6131810675006,19168.432699477344,249.50304892693973,0.0,999.6333540713166,2510.097577817713
57,-215.09721607615833,1057.8570097005006,15.0,1723.4725395825938,6.0,9.0,4.0,5.0,4117.136252536117,21432.08239166133,721.4830979036989,450.2264459856691,1042.7690752208255,2766.241614803419
58,-217.67768616337685,-689.522836414729,14.0,1738.2294634889968,8.0,6.0,3.0,4.0,3730.763884588839,20478.603857159527,547.3786476333453,1258.2588766361998,365.9115779694719,2104.1410414584684
59,448.8677723481229,17.324094749899018,13.0,1613.7997334654133,7.0,6.0,1.0,1.0,3131.8576395616456,16568.48944195278,145.99783366251788,1243.5140246458748,-4932.396074582006,-3318.5963411165912
