estagio,projeto,area,etapa,decisao,vpl,tfunil
20,p15.0,1,2,Melhorar,177.36997936700666,2.0
20,p16.0,0,2,Melhorar,396.02261057085644,2.5
20,p13.0,1,2,Continuar,383.60501672806777,2.6666666666666665
20,p13.1,0,3,Abandonar,467.41993545655555,3.0
20,p15.1,0,3,Abandonar,589.3990341690422,3.0
21,p20.0,0,1,Abandonar,265.9496703576423,1.0
21,p20.1,0,1,Continuar,235.5790086160371,1.0
21,p16.1,0,2,Continuar,574.8715859807323,2.0
21,p18.0,0,2,Continuar,-704.9239934854028,2.0
21,p18.1,0,2,Melhorar,142.47063912444892,2.0
21,p19.0,1,2,Abandonar,384.66731228357014,2.0
21,p15.0,1,2,Melhorar,191.6497394452008,2.5
21,p16.0,0,3,Continuar,438.77704415585356,3.0
21,p13.0,1,3,Continuar,580.0390014793325,3.0
22,p21.0,0,1,Abandonar,155.03193324342337,1.0
22,p21.1,1,1,Melhorar,322.76146412206737,1.0
22,p20.1,0,2,Continuar,264.7489608569055,2.0
22,p18.0,0,2,Continuar,-526.232624369408,2.3333333333333335
22,p16.1,0,3,Melhorar,553.5001711196599,3.0
22,p18.1,0,3,Abandonar,151.95370124566296,3.0
22,p15.0,1,3,Continuar,184.8141161195751,3.0
22,p16.0,0,3,Congelar,452.58627025491614,3.5
22,p13.0,1,3,Continuar,554.878353411401,3.3333333333333335
23,p21.1,1,1,Melhorar,349.0759019979943,1.3333333333333335
23,p22.0,0,1,Abandonar,-280.278270572493,1.0
23,p22.1,1,1,Abandonar,260.24581211450607,1.0
23,p20.1,0,2,Continuar,230.15529423494104,2.3333333333333335
23,p18.0,0,2,Continuar,-587.9683634336784,2.6666666666666665
23,p16.1,0,3,Melhorar,581.74255912292,3.3333333333333335
23,p15.0,1,3,Continuar,221.23749844239327,3.0
23,p16.0,0,3,Abandonar,419.89597157821066,3.5
23,p13.0,1,3,Congelar,676.0386344329088,3.6666666666666665
24,p21.1,1,1,Melhorar,399.7831942799267,1.6666666666666667
24,p23.0,0,1,Continuar,385.61356921904576,1.0
24,p23.1,1,1,Abandonar,556.5607873980362,1.0
24,p20.1,0,2,Continuar,222.51743574826872,2.6666666666666665
24,p18.0,0,3,Abandonar,-637.5056246786511,3.0
24,p16.1,0,3,Melhorar,508.25404346991024,3.3333333333333335
24,p15.0,1,3,Congelar,234.01016887364773,3.5
24,p13.0,1,3,Abandonar,681.0990445105208,3.6666666666666665
25,p23.0,0,1,Continuar,396.2694396818228,1.3333333333333335
25,p24.0,1,1,Abandonar,181.7369351905306,1.0
25,p24.1,0,1,Abandonar,377.445489116963,1.0
25,p21.1,1,2,Continuar,324.58831359755106,2.0
