i,j,custo,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,silo_0,silo_1,silo_2,silo_3,silo_4,silo_5,silo_6,silo_7,silo_8,silo_9,silo_10,silo_11,silo_12,silo_13,silo_14,silo_15,pos
0,44,126.58749999999999,126.58749999999999,1744.9125000000001,225.64999999999998,180.5,368.25,2503.25,100,48.5,64.0,0,48.5,61.0,48.5,0,48.5,35.75,19.75,7.0,0,32.5,0,0,1
0,45,128.4875,128.4875,1769.1375,226.3625,180.5,363.5,2528.9,100,47.5,63.0,0,47.5,60.0,47.5,0,47.5,34.75,18.75,6.0,0,31.5,0,0,1
0,46,130.3875,130.3875,1794.3125000000002,227.2625,180.5,358.75,2556.45,100,46.5,62.0,0,46.5,59.0,46.5,0,46.5,33.75,17.75,5.0,0,30.5,0,0,1
0,47,132.2875,132.2875,1820.4375,228.1625,180.5,354.0,2585.9,100,45.5,61.0,0,45.5,58.0,45.5,0,45.5,32.75,16.75,4.0,0,29.5,0,0,1
0,48,134.1875,134.1875,1847.5125,229.0625,180.5,349.25,2617.25,100,44.5,60.0,0,44.5,57.0,44.5,0,44.5,31.75,15.75,3.0,0,28.5,0,0,1
0,49,136.08749999999998,136.08749999999998,1875.5375000000001,229.96249999999998,180.5,344.5,2650.5,100,43.5,59.0,0,43.5,56.0,43.5,0,43.5,30.75,14.75,2.0,0,27.5,0,0,1
0,50,137.9875,137.9875,1904.7500000000002,230.8625,180.5,339.75,2685.4125,100,42.5,58.0,0,42.5,55.0,42.5,0,42.5,29.75,13.75,1.0,0,26.5,0,0,1
0,51,139.8875,139.8875,1935.8625,231.7625,180.5,336.0,2721.5125,100,41.5,57.0,0,41.5,54.0,41.5,0,41.5,28.75,12.75,0.0,0,25.5,0,0,1
0,52,140.8375,140.8375,1957.4750000000001,231.4625,180.5,331.875,2759.5125,100,40.5,56.0,0,40.5,53.0,40.5,0,40.5,27.75,11.75,0,0,24.5,0,0,1
0,53,141.7875,141.7875,1980.9875,231.1625,180.5,327.75,2800.3624999999997,100,39.5,55.0,0,39.5,52.0,39.5,0,39.5,26.75,10.75,0,0,23.5,0,0,1
0,54,142.7375,142.7375,2006.4,231.01875,180.5,323.625,2838.8375,100,38.5,54.0,0,38.5,51.0,38.5,0,38.5,25.75,9.75,0,0,22.5,0,0,1
0,55,143.6875,143.6875,2033.7125,230.9375,180.5,319.5,2864.725,100,37.5,53.0,0,37.5,50.0,37.5,0,37.5,24.75,8.75,0,0,21.5,0,0,1
0,56,144.6375,144.6375,2062.9249999999997,230.85625,180.5,315.375,2893.9375,100,36.5,52.0,0,36.5,49.0,36.5,0,36.5,23.75,7.75,0,0,20.5,0,0,1
0,57,146.0625,146.0625,2093.5625,231.25,180.5,311.25,2926.475,100,35.5,51.0,0,35.5,48.0,35.5,0,35.5,22.75,6.75,0,0,19.5,0,0,1
