valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
-45.08,40.75,45.08,0.00,8.00,3.00,4.00,2.00,6.00,2.00,3.00,2.00,0.00,7.00,35.60,57.82,142.40,10.66,7.42,6.00,3.00,2.00,143.01,789.31,429.04,2367.92,231.10,40.37,123.22,655.32,71.51,394.65,71.51,1183.96,123.22,655.32,70.05,401.67,
230.77,41.70,59.34,290.11,7.00,1.00,3.00,2.00,5.00,1.00,2.00,2.00,0.00,5.00,37.16,56.06,130.04,1.14,9.84,5.00,2.00,1.00,37.50,262.20,112.50,786.59,249.20,47.28,94.05,457.21,18.75,131.10,18.75,393.29,94.05,457.21,66.80,338.14,
31.34,41.65,68.96,100.31,8.00,1.00,4.00,2.00,6.00,2.00,3.00,2.00,0.00,6.00,32.53,49.94,130.14,12.56,7.18,6.00,3.00,2.00,47.05,257.34,141.16,772.01,231.87,50.08,120.45,515.61,23.53,128.67,23.53,386.00,120.45,515.61,85.19,376.29,
40.13,41.65,57.44,97.56,9.00,3.00,4.00,3.00,6.00,2.00,3.00,3.00,0.00,6.00,36.70,52.67,165.16,13.06,6.33,6.00,3.00,2.00,82.16,341.20,246.47,1023.60,219.86,46.59,136.81,580.19,41.08,170.60,41.08,511.80,136.81,580.19,80.34,353.74,
61.43,41.74,44.36,105.79,8.00,2.00,4.00,2.00,5.00,1.00,2.00,3.00,0.00,4.00,27.90,44.97,111.61,21.55,6.06,4.00,2.00,1.00,79.39,322.35,238.17,967.06,250.15,50.90,150.16,669.05,39.70,161.18,39.70,483.53,150.16,669.05,84.90,341.46,
67.94,41.88,44.67,112.61,7.00,4.00,3.00,2.00,4.00,1.00,2.00,3.00,0.00,4.00,41.43,57.96,145.01,5.31,9.24,4.00,2.00,1.00,214.89,903.57,644.68,2710.71,295.22,58.07,179.34,792.84,107.45,451.78,107.45,1355.35,179.34,792.84,90.42,343.46,
362.60,43.48,64.79,427.39,5.00,1.00,2.00,1.00,1.00,0.00,0.00,4.00,0.00,1.00,28.48,40.69,71.21,17.67,10.47,1.00,0.00,0.00,149.11,695.17,447.32,2085.52,344.14,74.55,128.55,570.67,74.55,347.59,74.55,1042.76,128.55,570.67,7.34,40.56,
229.43,44.41,43.00,272.43,5.00,0.00,2.00,1.00,2.00,0.00,1.00,3.00,0.00,2.00,32.36,35.90,80.90,14.22,11.16,2.00,1.00,0.00,0.00,0.00,0.00,0.00,316.45,54.02,65.58,330.99,0.00,0.00,0.00,0.00,65.58,330.99,19.91,119.97,
-41.44,43.98,41.44,0.00,6.00,1.00,3.00,2.00,3.00,1.00,1.00,3.00,0.00,3.00,37.43,42.82,112.28,14.95,9.17,3.00,1.00,1.00,29.75,161.12,89.26,483.36,248.71,40.72,81.88,432.49,14.88,80.56,14.88,241.68,81.88,432.49,33.01,211.90,
-1.31,43.75,55.15,53.83,7.00,0.00,3.00,2.00,3.00,1.00,1.00,4.00,0.00,3.00,40.39,57.88,141.35,4.02,9.43,3.00,1.00,1.00,0.00,0.00,0.00,0.00,214.74,36.53,83.80,424.43,0.00,0.00,0.00,0.00,83.80,424.43,25.81,154.73,
