valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,Qprojae,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QModosP,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
365.94,41.28,57.57,423.51,6.00,0.00,3.00,3.00,3.00,4.00,2.00,2.00,2.00,0.00,7.00,17.73,17.73,17.73,35.07,5.82,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,201.07,43.59,71.22,290.12,0.00,0.00,0.00,0.00,142.44,580.24,43.80,157.90,
-35.03,40.89,35.03,0.00,8.00,1.00,4.00,4.00,4.00,5.00,2.00,2.00,3.00,0.00,8.00,28.33,28.33,28.33,17.29,6.59,0.00,5.00,5.00,5.00,29.19,99.57,58.38,199.14,214.65,45.46,115.10,478.25,14.59,49.78,29.19,99.57,230.20,956.51,69.86,259.47,
-8.86,40.65,48.46,39.60,8.00,2.00,4.00,4.00,4.00,5.00,2.00,2.00,3.00,0.00,8.00,29.66,29.66,29.66,11.30,7.34,0.00,5.00,5.00,5.00,164.17,643.32,328.35,1286.65,248.17,51.79,152.16,641.00,82.09,321.66,164.17,643.32,304.31,1281.99,89.76,350.82,
193.50,41.41,58.80,252.31,8.00,2.00,4.00,4.00,4.00,5.00,2.00,2.00,3.00,0.00,7.00,30.93,30.93,30.93,10.49,7.44,0.00,5.00,5.00,5.00,55.92,247.41,111.83,494.82,258.16,47.96,116.49,547.93,27.96,123.71,55.92,247.41,232.98,1095.85,77.36,323.16,
64.54,41.52,39.75,104.29,7.00,1.00,3.00,3.00,3.00,5.00,2.00,2.00,2.00,0.00,5.00,40.60,40.60,40.60,1.85,9.74,0.00,4.00,4.00,4.00,54.69,344.65,109.39,689.30,251.12,54.30,119.78,522.76,27.35,172.32,54.69,344.65,239.55,1045.52,61.37,269.95,
114.91,41.89,42.37,157.28,7.00,1.00,3.00,3.00,3.00,6.00,3.00,3.00,1.00,0.00,6.00,36.06,36.06,36.06,3.27,9.53,0.00,5.00,5.00,5.00,56.26,230.71,112.53,461.41,240.73,46.98,117.42,504.59,28.13,115.35,56.26,230.71,234.84,1009.19,82.81,372.37,
57.51,41.97,53.34,110.84,7.00,2.00,3.00,3.00,3.00,6.00,3.00,3.00,1.00,0.00,7.00,28.89,28.89,28.89,13.27,8.10,0.00,6.00,6.00,6.00,162.20,601.54,324.40,1203.08,226.13,43.91,128.34,544.18,81.10,300.77,162.20,601.54,256.68,1088.37,94.55,451.43,
246.63,42.99,56.73,303.36,7.00,2.00,3.00,3.00,3.00,6.00,3.00,3.00,1.00,0.00,6.00,29.86,29.86,29.86,14.31,7.96,0.00,6.00,6.00,6.00,52.92,260.19,105.84,520.37,212.24,34.98,85.13,427.71,26.46,130.09,52.92,260.19,170.26,855.42,75.29,383.89,
20.71,42.88,55.79,76.49,7.00,1.00,3.00,3.00,3.00,5.00,2.00,2.00,2.00,0.00,5.00,19.19,19.19,19.19,33.97,5.15,0.00,5.00,5.00,5.00,28.65,144.58,57.31,289.17,229.52,41.22,92.98,474.80,14.33,72.29,28.65,144.58,185.95,949.61,74.78,390.68,
34.07,42.84,35.25,69.32,8.00,2.00,4.00,4.00,4.00,6.00,3.00,3.00,2.00,0.00,5.00,20.58,20.58,20.58,23.36,5.83,0.00,5.00,5.00,5.00,100.17,428.86,200.33,857.72,208.24,37.74,111.90,537.54,50.08,214.43,100.17,428.86,223.79,1075.08,88.81,442.34,
129.08,43.27,45.86,174.94,7.00,3.00,3.00,3.00,3.00,4.00,2.00,2.00,3.00,0.00,5.00,14.60,14.60,14.60,36.71,4.76,0.00,4.00,4.00,4.00,76.35,431.68,152.69,863.36,218.40,32.36,79.95,470.95,38.17,215.84,76.35,431.68,159.91,941.90,55.75,340.35,
115.00,43.63,33.39,148.39,7.00,2.00,3.00,3.00,3.00,2.00,1.00,1.00,5.00,0.00,3.00,18.27,18.27,18.27,32.03,5.42,0.00,2.00,2.00,2.00,75.32,461.93,150.65,923.86,229.95,35.67,77.36,449.56,37.66,230.96,75.32,461.93,154.72,899.13,33.46,224.65,
155.89,44.19,38.07,193.96,7.00,0.00,3.00,3.00,3.00,2.00,1.00,1.00,5.00,0.00,3.00,25.51,25.51,25.51,22.78,6.75,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,201.05,29.89,57.02,321.18,0.00,0.00,0.00,0.00,114.05,642.37,13.01,71.49,
-47.32,43.73,47.32,0.00,9.00,2.00,4.00,4.00,4.00,3.00,1.00,1.00,6.00,0.00,4.00,41.86,41.86,41.86,7.41,6.95,0.00,3.00,3.00,3.00,33.64,114.94,67.27,229.88,192.98,30.61,89.91,486.50,16.82,57.47,33.64,114.94,179.82,973.00,28.21,133.67,
-16.26,43.43,62.69,46.42,9.00,2.00,4.00,4.00,4.00,4.00,2.00,2.00,5.00,0.00,6.00,41.00,41.00,41.00,5.17,7.20,0.00,4.00,4.00,4.00,40.48,251.84,80.95,503.67,243.78,34.72,98.65,612.17,20.24,125.92,40.48,251.84,197.31,1224.35,41.48,216.67,
65.73,43.54,43.14,108.87,8.00,2.00,4.00,4.00,4.00,5.00,2.00,2.00,3.00,0.00,5.00,49.01,49.01,49.01,-6.15,9.52,0.00,5.00,5.00,5.00,77.77,619.73,155.53,1239.46,350.44,43.47,119.01,814.56,38.88,309.87,77.77,619.73,238.01,1629.12,66.16,412.20,
167.73,44.16,49.73,217.45,9.00,2.00,4.00,4.00,4.00,6.00,3.00,3.00,3.00,0.00,4.00,56.09,56.09,56.09,-13.36,9.26,0.00,4.00,4.00,4.00,75.53,393.32,151.06,786.64,304.52,38.49,122.57,754.32,37.76,196.66,75.53,393.32,245.13,1508.64,75.39,396.53,
111.30,44.50,49.72,161.02,6.00,2.00,3.00,3.00,3.00,3.00,1.00,1.00,3.00,0.00,3.00,30.73,30.73,30.73,16.09,8.99,0.00,3.00,3.00,3.00,107.09,677.11,214.18,1354.23,236.61,39.66,98.54,535.08,53.55,338.56,107.09,677.11,197.08,1070.15,57.35,311.72,
256.67,45.56,52.68,309.35,5.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,0.00,3.00,28.06,28.06,28.06,26.52,8.70,0.00,3.00,3.00,3.00,75.45,307.30,150.89,614.59,207.97,42.38,73.36,310.80,37.72,153.65,75.45,307.30,146.72,621.61,58.65,258.98,
117.10,45.92,35.65,152.75,5.00,0.00,2.00,2.00,2.00,4.00,2.00,2.00,1.00,0.00,5.00,12.66,12.66,12.66,50.04,3.99,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,174.50,39.56,45.14,199.35,0.00,0.00,0.00,0.00,90.28,398.71,33.84,161.10,
-20.06,45.59,20.06,0.00,7.00,1.00,3.00,3.00,3.00,6.00,3.00,3.00,1.00,0.00,8.00,28.41,28.41,28.41,25.40,6.37,0.00,6.00,6.00,6.00,30.94,228.13,61.88,456.26,233.49,46.02,82.47,408.93,15.47,114.07,30.94,228.13,164.95,817.85,68.20,355.96,
47.56,45.60,33.39,80.94,8.00,2.00,4.00,4.00,4.00,7.00,3.00,3.00,1.00,0.00,8.00,34.09,34.09,34.09,16.06,6.74,0.00,6.00,6.00,6.00,49.56,194.44,99.13,388.88,200.27,41.77,97.00,408.28,24.78,97.22,49.56,194.44,193.99,816.57,63.00,218.88,
37.29,45.56,43.55,80.84,8.00,1.00,4.00,4.00,4.00,7.00,3.00,3.00,1.00,0.00,7.00,41.83,41.83,41.83,-4.69,9.34,0.00,5.00,5.00,5.00,15.05,48.69,30.10,97.38,211.25,42.25,108.66,461.89,7.53,24.35,15.05,48.69,217.32,923.77,75.13,259.93,
-25.54,45.20,53.63,28.09,7.00,1.00,3.00,3.00,3.00,7.00,3.00,3.00,0.00,0.00,8.00,37.84,37.84,37.84,3.45,9.51,0.00,5.00,5.00,5.00,75.36,274.09,150.71,548.17,285.40,69.31,149.91,601.58,37.68,137.04,75.36,274.09,299.83,1203.17,114.10,352.93,
107.38,45.51,33.76,141.14,7.00,2.00,3.00,3.00,3.00,6.00,3.00,3.00,1.00,1.00,6.00,37.89,37.89,37.89,7.84,8.88,0.00,4.00,4.00,4.00,133.30,727.73,266.60,1455.45,263.93,63.50,146.51,614.91,66.65,363.86,133.30,727.73,293.01,1229.82,87.86,282.05,
321.77,46.89,33.36,355.12,5.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,0.00,3.00,31.06,31.06,31.06,25.28,8.94,0.00,2.00,2.00,2.00,94.07,285.50,188.14,570.99,268.60,59.03,94.56,359.87,47.03,142.75,94.07,285.50,189.12,719.73,60.77,218.41,
127.84,47.30,31.89,159.73,5.00,0.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,0.00,2.00,10.70,10.70,10.70,46.29,4.74,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,167.20,32.08,46.96,222.33,0.00,0.00,0.00,0.00,93.92,444.66,18.65,100.44,
-19.45,46.96,19.45,0.00,6.00,1.00,3.00,3.00,3.00,2.00,1.00,1.00,4.00,0.00,2.00,21.26,21.26,21.26,27.10,7.15,0.00,2.00,2.00,2.00,55.88,263.26,111.75,526.52,189.44,36.93,82.68,371.01,27.94,131.63,55.88,263.26,165.37,742.02,29.30,137.21,
87.11,47.16,30.80,117.91,6.00,1.00,3.00,3.00,3.00,3.00,1.00,1.00,3.00,0.00,4.00,23.67,23.67,23.67,24.92,7.51,0.00,3.00,3.00,3.00,59.59,250.11,119.18,500.23,183.37,30.33,80.89,394.53,29.79,125.06,59.59,250.11,161.78,789.05,21.81,122.68,
30.91,47.08,36.42,67.33,7.00,4.00,3.00,3.00,3.00,4.00,2.00,2.00,3.00,0.00,4.00,32.86,32.86,32.86,16.39,7.66,0.00,4.00,4.00,4.00,134.57,668.85,269.14,1337.70,154.73,26.45,89.16,430.95,67.29,334.42,134.57,668.85,178.33,861.91,35.58,169.54,
187.44,47.79,44.96,232.40,5.00,0.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,0.00,1.00,32.08,32.08,32.08,19.64,10.07,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,154.08,32.18,52.31,193.58,0.00,0.00,0.00,0.00,104.63,387.17,7.03,18.49,
-41.80,47.34,41.80,0.00,6.00,2.00,3.00,3.00,3.00,3.00,1.00,1.00,3.00,0.00,3.00,35.42,35.42,35.42,14.47,9.25,0.00,3.00,3.00,3.00,60.59,161.61,121.19,323.23,134.85,34.83,76.82,245.61,30.30,80.81,60.59,161.61,153.63,491.22,24.13,67.29,
38.45,47.29,46.69,85.14,6.00,1.00,3.00,3.00,3.00,2.00,1.00,1.00,4.00,0.00,1.00,29.51,29.51,29.51,17.45,8.76,0.00,1.00,1.00,1.00,46.75,180.55,93.49,361.10,229.40,42.57,77.10,337.85,23.37,90.27,46.75,180.55,154.20,675.69,7.17,23.86,
57.02,47.34,33.57,90.60,5.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,0.00,3.00,19.44,19.44,19.44,36.93,6.61,0.00,3.00,3.00,3.00,65.72,267.14,131.44,534.28,129.54,24.08,51.98,224.83,32.86,133.57,65.72,267.14,103.95,449.66,15.17,67.68,
99.15,47.60,31.88,131.02,6.00,0.00,3.00,3.00,3.00,5.00,2.00,2.00,1.00,0.00,4.00,18.70,18.70,18.70,34.92,5.85,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,219.78,31.16,45.14,265.09,0.00,0.00,0.00,0.00,90.28,530.17,39.16,223.03,
-20.20,47.26,20.20,0.00,7.00,1.00,3.00,3.00,3.00,4.00,2.00,2.00,3.00,0.00,3.00,25.01,25.01,25.01,31.60,5.49,0.00,3.00,3.00,3.00,17.61,88.13,35.21,176.26,291.33,41.00,71.47,429.35,8.80,44.07,17.61,88.13,142.94,858.71,35.18,173.17,
2.06,47.04,15.49,17.55,6.00,1.00,3.00,3.00,3.00,2.00,1.00,1.00,4.00,0.00,2.00,16.11,16.11,16.11,41.93,4.68,0.00,2.00,2.00,2.00,48.38,146.72,96.75,293.44,202.47,39.66,71.07,314.63,24.19,73.36,48.38,146.72,142.15,629.26,37.63,168.19,
51.77,47.06,28.27,80.04,7.00,1.00,3.00,3.00,3.00,3.00,1.00,1.00,4.00,0.00,4.00,28.79,28.79,28.79,25.58,6.35,0.00,3.00,3.00,3.00,25.96,162.11,51.92,324.22,223.20,41.48,79.33,388.35,12.98,81.05,25.96,162.11,158.66,776.70,36.41,198.35,
2.85,46.84,44.52,47.38,8.00,0.00,4.00,4.00,4.00,3.00,1.00,1.00,5.00,0.00,4.00,33.39,33.39,33.39,14.17,6.98,0.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,226.33,49.16,110.26,470.56,0.00,0.00,0.00,0.00,220.52,941.12,48.28,259.78,
